day	hour	voix
1	1	3.0
1	2	6.6
1	3	4.0
1	4	-4.2
1	5	-4.3
1	6	14.0
1	7	3.9
1	8	8.1
1	9	7.9
1	10	3.2
1	11	2.3
1	12	5.3
1	13	1.8
1	14	6.0
1	15	4.8
2	1	4.6
2	2	6.5
2	3	1.1
2	4	10.1
2	5	5.9
2	6	9.3
2	7	3.9
2	8	-1.7
2	9	8.4
2	10	-0.8
2	11	11.8
2	12	4.2
2	13	4.4
2	14	15.2
2	15	4.8
3	1	6.9
3	2	6.6
3	3	0.8
3	4	9.3
3	5	4.8
3	6	7.3
3	7	2.3
3	8	3.3
3	9	7.3
3	10	2.3
3	11	5.3
3	12	5.5
3	13	3.5
3	14	20.1
3	15	4.0
4	1	6.5
4	2	4.0
4	3	1.9
4	4	8.5
4	5	0.9
4	6	4.0
4	7	1.1
4	8	2.3
4	9	0.7
4	10	7.0
4	11	7.0
4	12	6.2
4	13	4.3
4	14	7.0
4	15	5.9
5	1	5.0
5	2	4.0
5	3	1.5
5	4	9.2
5	5	4.7
5	6	3.9
5	7	0.1
5	8	6.1
5	9	0.3
5	10	6.0
5	11	3.6
5	12	2.8
5	13	6.5
5	14	-21.1
5	15	5.4
6	1	5.0
6	2	5.4
6	3	3.6
6	4	9.3
6	5	2.3
6	6	3.3
6	7	3.8
6	8	5.4
6	9	2.0
6	10	5.4
6	11	4.6
6	12	-1.7
6	13	6.6
6	14	4.3
6	15	5.0
