day	hour	voix
1	1	-3.9
1	2	-3.3
1	3	-3.3
1	4	-4.0
1	5	-9.8
1	6	-3.8
1	7	-1.9
1	8	-3.3
1	9	-7.1
1	10	-4.3
1	11	-7.7
1	12	-4.6
1	13	-4.3
1	14	-5.0
1	15	-2.2
2	1	-7.9
2	2	-2.0
2	3	3.8
2	4	-2.9
2	5	-6.3
2	6	-4.7
2	7	9.0
2	8	2.7
2	9	1.6
2	10	-2.1
2	11	-9.1
2	12	-0.8
2	13	-4.8
2	14	-4.1
2	15	-6.3
3	1	-1.9
3	2	-1.8
3	3	7.3
3	4	-2.2
3	5	-9.6
3	6	-6.4
3	7	-4.3
3	8	-2.6
3	9	0.2
3	10	-3.8
3	11	-8.1
3	12	1.5
3	13	-5.2
3	14	-3.3
3	15	-3.4
4	1	-2.6
4	2	-3.5
4	3	8.9
4	4	-2.2
4	5	-8.7
4	6	-8.6
4	7	-3.3
4	8	-3.1
4	9	-1.1
4	10	-2.2
4	11	-2.6
4	12	-1.4
4	13	-5.5
4	14	-1.6
4	15	-4.6
5	1	-0.4
5	2	-3.1
5	3	10.3
5	4	-3.2
5	5	-4.6
5	6	-5.7
5	7	 4.0
5	8	-2.6
5	9	 3.8
5	10	-0.1
5	11	-1.1
5	12	-1.4
5	13	-5.8
5	14	-5.2
5	15	-5.8
6	1	-1.7
6	2	-2.3
6	3	-7.7
6	4	-4.0
6	5	-4.6
6	6	-1.0
6	7	-1.2
6	8	1.9
6	9	-4.0
6	10	-3.0
6	11	-0.6
6	12	-1.4
6	13	-6.7
6	14	-4.6
6	15	-1.1
7	1	-1.5
7	2	-4.4
7	3	-10.6
7	4	-1.7
7	5	-4.5
7	6	-5.9
7	7	-14.3
7	8	1.2
7	9	1.7
7	10	-2.3
7	11	-2.4
7	12	-3.1
7	13	-5.2
7	14	-5.1
7	15	 0.3
