day	hour	voix
1	1	14.2
1	2	14.2
1	3	19.0
1	4	15.6
1	5	16.8
1	6	17.3
1	7	16.5
1	8	10.2
1	9	19.0
1	10	14.0
1	11	16.2
1	12	1.5
1	13	19.8
1	14	9.1
1	15	21.4
2	1	14.8
2	2	15.2
2	3	17.3
2	4	15.2
2	5	15.8
2	6	17.0
2	7	15.5
2	8	8.5
2	9	19.6
2	10	13.3
2	11	15.5
2	12	1.5
2	13	19.6
2	14	8.2
2	15	20.7
3	1	14.8
3	2	16.6
3	3	18.3
3	4	15.6
3	5	14.0
3	6	15.3
3	7	15.8
3	8	6.8
3	9	19.3
3	10	13.1
3	11	15.5
3	12	5.9
3	13	18.4
3	14	8.7
3	15	20.0
4	1	14.4
4	2	15.6
4	3	18.3
4	4	16.2
4	5	14.2
4	6	16.6
4	7	17.2
4	8	7.7
4	9	22.5
4	10	12.1
4	11	14.0
4	12	6.9
4	13	18.7
4	14	9.3
4	15	16.6
5	1	14.51
5	2	13.7
5	3	20.0
5	4	12.3
5	5	14.0
5	6	16.3
5	7	14.6
5	8	7.8
5	9	19.5
5	10	12.1
5	11	13.4
5	12	7.3
5	13	19.0
5	14	 9.2
5	15	 16.4
6	1	15.2
6	2	12.7
6	3	18.9
6	4	15.6
6	5	13.0
6	6	14.0
6	7	14.2
6	8	7.9
6	9	18.8
6	10	12.9
6	11	12.8
6	12	6.3
6	13	18.7
6	14	8.6
6	15	 15.7
