day	hour	voix
1	1	 50.0
1	2	36.4
1	3	119.0
1	4	41.8
1	5	99.0
1	6	166.0
1	7	53.0
1	8	45.2
1	9	43.0
1	10	35.0
1	11	40.6
1	12	15.0
1	13	57.0
1	14	48.0
1	15	76.0
2	1	41.6
2	2	34.2
2	3	121.2
2	4	42.2
2	5	101.1
2	6	171.6
2	7	43.4
2	8	48.0
2	9	31.9
2	10	30.8
2	11	36.2
2	12	10.9
2	13	57.1
2	14	29.1
2	15	76.0
3	1	30.9
3	2	30.4
3	3	114.0
3	4	35.6
3	5	104.1
3	6	170.2
3	7	89.2
3	8	47.6
3	9	37.7
3	10	27.1
3	11	25.6
3	12	10.6
3	13	54.4
3	14	35.4
3	15	52.6
4	1	25.4
4	2	28.2
4	3	101.6
4	4	32.0
4	5	88.1
4	6	156.8
4	7	54.5
4	8	47.8
4	9	30.2
4	10	26.0
4	11	23.1
4	12	8.8
4	13	45.7
4	14	30.8
4	15	45.3
5	1	26.8
5	2	28.0
5	3	90.4
5	4	31.9
5	5	178.0
5	6	0.0
5	7	52.0
5	8	48.9
5	9	34.1
5	10	24.3
5	11	21.2
5	12	9.0
5	13	43.0
5	14	36.7
5	15	44.0
6	1	29.9
6	2	31.4
6	3	78.5
6	4	65.1
6	5	76.5
6	6	139.7
6	7	74.3
6	8	47.6
6	9	32.4
6	10	23.9
6	11	20.2
6	12	8.8
6	13	39.8
6	14	42.0
6	15	47.1
7	1	28.5
7	2	28.6
7	3	72.1
7	4	60.2
7	5	72.2
7	6	137.8
7	7	86.8
7	8	164.0
7	9	42.0
7	10	0.1
7	11	24.0
7	12	0.1
7	13	35.0
7	14	47.1
7	15	46.7
