day	hour	voix
1	1	48.2
1	2	50.4
1	3	54.4
1	4	45.1
1	5	30.4
1	6	43.7
1	7	32.5
1	8	50.1
1	9	58.7
1	10	33.0
1	11	36.5
1	12	140.1
1	13	32.9
1	14	78.4
1	15	33.2
2	1	45.3
2	2	46.5
2	3	57.9
2	4	46.0
2	5	34.0
2	6	49.1
2	7	30.1
2	8	71.1
2	9	54.3
2	10	33.0
2	11	33.9
2	12	132.7
2	13	32.7
2	14	77.6
2	15	31.3
3	1	44.9
3	2	35.8
3	3	53.7
3	4	43.1
3	5	46.9
3	6	57.6
3	7	28.2
3	8	68.9
3	9	52.1
3	10	36.4
3	11	32.6
3	12	38.7
3	13	34.6
3	14	57.0
3	15	32.4
4	1	46.7
4	2	37.3
4	3	52.4
4	4	42.2
4	5	43.3
4	6	53.3
4	7	24.8
4	8	62.6
4	9	47.8
4	10	37.8
4	11	31.3
4	12	36.2
4	13	34.1
4	14	60.9
4	15	36.7
5	1	47.4
5	2	40.5
5	3	47.2
5	4	48.2
5	5	45.5
5	6	46.4
5	7	35.3
5	8	71.3
5	9	49.9
5	10	35.7
5	11	33.3
5	12	34.5
5	13	32.3
5	14	58.4
5	15	35.9
6	1	45.4
6	2	43.5
6	3	50.8
6	4	41.5
6	5	43.6
6	6	49.5
6	7	40.4
6	8	79.3
6	9	41.4
6	10	34.0
6	11	34.7
6	12	39.6
6	13	32.8
6	14	60.9
6	15	33.5
